#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
80000,160.00000000003587,-1063536.3080807757,337.7481435561628,0.9743405879322723
85000,170.00000000008362,-1090150.6088620313,320.5306624656171,0.9743405879332301
90000,180.00000000013137,-401813.2221432803,480.91922195104877,0.9743405879332011
95000,190.0000000001791,-988905.7065182803,388.0812295883927,0.9743405879332011
100000,200.00000000022686,-746064.9565182803,327.0518077532763,0.974340587933183
105000,210.0000000002746,-724629.0737057803,473.3438206848862,0.9743405879331841
110000,220.00000000032236,-470114.0072995303,537.9874851878685,0.9743405879331841
115000,230.0000000003701,-1042878.7885495303,341.04922841410615,0.9743405879331841
120000,240.00000000041786,-1029922.1166745303,361.6606971053544,0.9743405879331841
125000,250.0000000004656,-1070998.9721432803,344.1237115794505,0.9743405879331841
130000,260.00000000051335,-915402.3588620303,381.6578025764108,0.9743405879331841
135000,270.0000000005611,-984205.3276120303,367.9495114509939,0.9743405879331841
140000,280.00000000060885,-669518.7182370303,513.93728148234,0.9743405879331841
145000,290.0000000006566,-994912.8197995303,367.6122018913589,0.9743405879331841
150000,300.00000000070435,-861133.5932370303,401.4963905818184,0.9743405879331841
155000,310.0000000007521,-1081681.8901120303,334.71159197318894,0.9743405879331841
160000,320.00000000079984,-1020981.0385495303,354.9012199808084,0.9743405879331841
165000,330.0000000008476,-586932.9760495303,496.16100101296576,0.9743405879331841
170000,340.00000000089534,-1101731.0619870303,318.01784330381173,0.9743405879331841
175000,350.0000000009431,43640.98488796968,365.0003556167241,0.9743405879331841
180000,360.00000000099084,-1075261.4799557803,329.38921804165847,0.9743405879331841
185000,370.0000000010386,-961548.6518307803,352.3416778021767,0.9743405879331841
190000,380.00000000108633,-967036.8237057803,377.04894245310453,0.9743405879331841
195000,390.0000000011341,-1121693.0776120303,316.01875507172934,0.9743405879331841
200000,400.00000000118183,-1098242.4643307803,341.9391388973778,0.9743405879331841
205000,410.0000000012296,-868820.3549557803,392.83072796794914,0.9743405879331841
